Lineup,Count,Expected Dupes (Simple Method),Slate Id,Simmed Duplicates
CPT Travis Kelce FLEX Patrick Mahomes FLEX Joe Burrow FLEX Tee Higgins FLEX Mecole Hardman FLEX Samaje Perine,5,2.0,2207,1.0
CPT Travis Kelce FLEX Patrick Mahomes FLEX Tyreek Hill FLEX Tee Higgins FLEX Evan McPherson FLEX Samaje Perine,2,2.0,2207,1.0
CPT Patrick Mahomes FLEX Joe Burrow FLEX Travis Kelce FLEX Tee Higgins FLEX Evan McPherson FLEX Samaje Perine,9,4.0,2207,5.0
CPT Joe Burrow FLEX Patrick Mahomes FLEX Travis Kelce FLEX Tee Higgins FLEX Evan McPherson FLEX Samaje Perine,2,2.0,2207,5.0
CPT Mecole Hardman FLEX Patrick Mahomes FLEX Joe Burrow FLEX Travis Kelce FLEX Tee Higgins FLEX Evan McPherson,8,4.0,2207,5.0
CPT Tee Higgins FLEX Patrick Mahomes FLEX Joe Burrow FLEX Travis Kelce FLEX Mecole Hardman FLEX Samaje Perine,4,2.0,2207,1.0
CPT Travis Kelce FLEX Joe Burrow FLEX Ja'Marr Chase FLEX Tee Higgins FLEX Mecole Hardman FLEX Evan McPherson,10,7.0,2207,4.0
CPT Travis Kelce FLEX Patrick Mahomes FLEX Joe Burrow FLEX Tee Higgins FLEX Jerick McKinnon FLEX Samaje Perine,16,5.0,2207,9.0
CPT Mecole Hardman FLEX Patrick Mahomes FLEX Tyreek Hill FLEX Travis Kelce FLEX Tee Higgins FLEX Evan McPherson,2,2.0,2207,5.0
CPT Tee Higgins FLEX Patrick Mahomes FLEX Joe Burrow FLEX Travis Kelce FLEX Evan McPherson FLEX Samaje Perine,2,3.0,2207,1.0
CPT Mecole Hardman FLEX Patrick Mahomes FLEX Joe Burrow FLEX Travis Kelce FLEX Tee Higgins FLEX Samaje Perine,1,1.0,2207,0.0
CPT Evan McPherson FLEX Patrick Mahomes FLEX Tyreek Hill FLEX Joe Burrow FLEX Travis Kelce FLEX Samaje Perine,1,1.0,2207,2.0
CPT Travis Kelce FLEX Patrick Mahomes FLEX Joe Burrow FLEX Jerick McKinnon FLEX Mecole Hardman FLEX Evan McPherson,1,14.0,2207,1.0
CPT Travis Kelce FLEX Patrick Mahomes FLEX Joe Mixon FLEX Tee Higgins FLEX Mecole Hardman FLEX Evan McPherson,23,7.0,2207,12.0
CPT Tyreek Hill FLEX Joe Burrow FLEX Travis Kelce FLEX Tee Higgins FLEX Evan McPherson FLEX Samaje Perine,3,1.0,2207,1.0
CPT Samaje Perine FLEX Patrick Mahomes FLEX Tyreek Hill FLEX Joe Burrow FLEX Travis Kelce FLEX Evan McPherson,1,0.0,2207,0.0
CPT Travis Kelce FLEX Patrick Mahomes FLEX Joe Burrow FLEX Joe Mixon FLEX Evan McPherson FLEX Samaje Perine,9,3.0,2207,6.0
CPT Travis Kelce FLEX Patrick Mahomes FLEX Tyreek Hill FLEX Jerick McKinnon FLEX Mecole Hardman FLEX Evan McPherson,3,8.0,2207,2.0
