"slate_id","game_id","active","operator_game_id"
11,1,True,""
12,9,True,""
12,6,True,""
12,12,True,""
12,2,True,""
12,1,True,""
12,10,True,""
12,8,True,""
12,7,True,""
12,3,True,""
12,4,True,""
12,5,True,""
12,11,True,""
12,13,True,""
12,14,True,""
12,15,True,""
12,16,True,""
13,1,True,""
14,1,True,""
15,9,True,""
15,6,True,""
15,12,True,""
15,2,True,""
15,10,True,""
15,8,True,""
15,7,True,""
15,3,True,""
15,4,True,""
15,5,True,""
15,11,True,""
15,13,True,""
16,9,True,""
16,6,True,""
16,2,True,""
16,10,True,""
16,8,True,""
16,7,True,""
16,3,True,""
16,4,True,""
16,5,True,""
17,9,True,""
17,6,True,""
17,12,True,""
17,2,True,""
17,10,True,""
17,8,True,""
17,7,True,""
17,3,True,""
17,4,True,""
17,5,True,""
17,11,True,""
17,13,True,""
17,14,True,""
17,15,True,""
17,16,True,""
18,9,True,""
19,2,True,""
20,3,True,""
21,6,True,""
22,10,True,""
23,4,True,""
24,8,True,""
25,7,True,""
26,5,True,""
27,9,True,""
28,3,True,""
29,2,True,""
30,12,True,""
30,11,True,""
30,13,True,""
31,11,True,""
32,12,True,""
32,13,True,""
33,12,True,""
34,13,True,""
35,12,True,""
36,12,True,""
37,14,True,""
38,14,True,""
38,15,True,""
38,16,True,""
39,14,True,""
40,14,True,""
41,15,True,""
41,16,True,""
42,15,True,""
43,15,True,""
44,15,True,""
45,16,True,""
46,16,True,""
47,16,True,""
48,1,True,""
49,12,True,""
49,7,True,""
49,6,True,""
49,9,True,""
49,8,True,""
49,3,True,""
49,2,True,""
49,1,True,""
49,4,True,""
49,5,True,""
49,13,True,""
49,11,True,""
49,14,True,""
49,16,True,""
49,10,True,""
49,15,True,""
50,1,True,""
51,1,True,""
52,12,True,""
52,4,True,""
52,5,True,""
52,7,True,""
52,6,True,""
52,9,True,""
52,13,True,""
52,11,True,""
52,8,True,""
52,3,True,""
52,2,True,""
52,10,True,""
53,4,True,""
53,5,True,""
53,7,True,""
53,6,True,""
53,9,True,""
53,8,True,""
53,3,True,""
53,2,True,""
53,10,True,""
54,12,True,""
54,7,True,""
54,6,True,""
54,9,True,""
54,8,True,""
54,3,True,""
54,2,True,""
54,4,True,""
54,5,True,""
54,13,True,""
54,11,True,""
54,14,True,""
54,16,True,""
54,10,True,""
54,15,True,""
55,2,True,""
56,12,True,""
56,13,True,""
56,11,True,""
57,11,True,""
58,12,True,""
58,13,True,""
59,12,True,""
59,13,True,""
59,14,True,""
59,16,True,""
59,15,True,""
60,13,True,""
61,12,True,""
62,14,True,""
63,14,True,""
63,16,True,""
63,15,True,""
64,14,True,""
65,14,True,""
66,16,True,""
66,15,True,""
67,15,True,""
68,16,True,""
69,16,True,""
70,16,True,""
71,1,True,""
71,9,True,""
71,6,True,""
71,2,True,""
71,10,True,""
71,8,True,""
71,7,True,""
71,3,True,""
71,4,True,""
71,5,True,""
71,11,True,""
71,12,True,""
71,13,True,""
71,14,True,""
71,15,True,""
71,16,True,""
72,9,True,""
72,6,True,""
72,2,True,""
72,10,True,""
72,8,True,""
72,7,True,""
72,3,True,""
72,4,True,""
72,5,True,""
72,11,True,""
72,12,True,""
72,13,True,""
72,14,True,""
73,9,True,""
73,6,True,""
73,2,True,""
73,10,True,""
73,8,True,""
73,7,True,""
73,3,True,""
73,4,True,""
73,5,True,""
74,11,True,""
74,12,True,""
74,13,True,""
74,14,True,""
75,14,True,""
75,15,True,""
75,16,True,""
76,15,True,""
76,16,True,""
77,15,True,""
77,16,True,""
77,17,True,""
462,117,True,""
462,115,True,""
462,114,True,""
462,120,True,""
462,123,True,""
462,125,True,""
463,118,True,""
463,115,True,""
463,114,True,""
463,120,True,""
464,123,True,""
464,125,True,""
78,17,True,""
79,20,True,""
79,23,True,""
79,18,True,""
79,24,True,""
79,17,True,""
79,27,True,""
79,26,True,""
79,25,True,""
79,19,True,""
79,21,True,""
79,22,True,""
79,28,True,""
79,30,True,""
79,29,True,""
79,31,True,""
79,32,True,""
80,17,True,""
81,17,True,""
82,20,True,""
82,23,True,""
82,18,True,""
82,24,True,""
82,27,True,""
82,26,True,""
82,25,True,""
82,19,True,""
82,21,True,""
82,22,True,""
82,28,True,""
82,30,True,""
82,29,True,""
83,19,True,""
84,24,True,""
85,26,True,""
86,20,True,""
86,23,True,""
86,18,True,""
86,24,True,""
86,27,True,""
86,26,True,""
86,25,True,""
86,19,True,""
86,21,True,""
86,22,True,""
87,20,True,""
87,23,True,""
87,18,True,""
87,24,True,""
87,27,True,""
87,26,True,""
87,25,True,""
87,19,True,""
87,21,True,""
87,22,True,""
87,28,True,""
87,30,True,""
87,29,True,""
87,31,True,""
87,32,True,""
88,18,True,""
89,23,True,""
90,25,True,""
91,27,True,""
92,20,True,""
93,22,True,""
94,21,True,""
95,24,True,""
96,26,True,""
97,19,True,""
98,28,True,""
99,28,True,""
99,30,True,""
99,29,True,""
100,29,True,""
101,30,True,""
101,29,True,""
102,30,True,""
103,29,True,""
104,31,True,""
105,31,True,""
105,32,True,""
106,31,True,""
107,31,True,""
108,32,True,""
109,32,True,""
109,33,True,""
110,32,True,""
111,32,True,""
112,17,True,""
113,29,True,""
113,26,True,""
113,23,True,""
113,25,True,""
113,27,True,""
113,30,True,""
113,22,True,""
113,28,True,""
113,21,True,""
113,24,True,""
113,32,True,""
113,18,True,""
113,19,True,""
113,31,True,""
113,20,True,""
113,17,True,""
114,17,True,""
115,17,True,""
116,29,True,""
116,26,True,""
116,23,True,""
116,25,True,""
116,27,True,""
116,30,True,""
116,22,True,""
116,28,True,""
116,21,True,""
116,24,True,""
116,18,True,""
116,19,True,""
116,20,True,""
117,21,True,""
117,24,True,""
117,26,True,""
117,23,True,""
117,25,True,""
117,27,True,""
117,18,True,""
117,19,True,""
117,20,True,""
117,22,True,""
118,29,True,""
118,26,True,""
118,23,True,""
118,25,True,""
118,27,True,""
118,30,True,""
118,22,True,""
118,28,True,""
118,21,True,""
118,24,True,""
118,32,True,""
118,18,True,""
118,19,True,""
118,31,True,""
118,20,True,""
119,19,True,""
120,28,True,""
120,29,True,""
120,30,True,""
121,28,True,""
122,28,True,""
122,32,True,""
122,29,True,""
122,30,True,""
122,31,True,""
123,29,True,""
123,30,True,""
124,30,True,""
125,29,True,""
126,32,True,""
126,31,True,""
127,31,True,""
128,31,True,""
129,31,True,""
130,32,True,""
131,32,True,""
131,33,True,""
132,32,True,""
133,32,True,""
134,17,True,""
134,20,True,""
134,23,True,""
134,18,True,""
134,24,True,""
134,27,True,""
134,26,True,""
134,25,True,""
134,19,True,""
134,21,True,""
134,22,True,""
134,28,True,""
134,30,True,""
134,29,True,""
134,31,True,""
134,32,True,""
135,20,True,""
135,23,True,""
135,18,True,""
135,24,True,""
135,27,True,""
135,26,True,""
135,25,True,""
135,19,True,""
135,21,True,""
135,22,True,""
135,28,True,""
135,30,True,""
135,29,True,""
135,31,True,""
136,20,True,""
136,23,True,""
136,18,True,""
136,24,True,""
136,27,True,""
136,26,True,""
136,25,True,""
136,19,True,""
136,21,True,""
136,22,True,""
137,28,True,""
137,30,True,""
137,29,True,""
137,31,True,""
138,31,True,""
138,32,True,""
139,32,True,""
139,33,True,""
140,33,True,""
141,38,True,""
141,47,True,""
141,34,True,""
141,40,True,""
141,33,True,""
141,39,True,""
141,41,True,""
141,37,True,""
141,36,True,""
141,35,True,""
141,43,True,""
141,42,True,""
141,44,True,""
141,46,True,""
141,45,True,""
141,48,True,""
142,33,True,""
143,33,True,""
144,38,True,""
144,34,True,""
144,40,True,""
144,39,True,""
144,41,True,""
144,37,True,""
144,36,True,""
144,35,True,""
144,43,True,""
144,42,True,""
144,44,True,""
144,46,True,""
144,45,True,""
145,38,True,""
145,34,True,""
145,40,True,""
145,39,True,""
145,41,True,""
145,37,True,""
145,36,True,""
145,35,True,""
